chr16	20544019	20544058	chr16:+:20544047:TE	9	+	1	2	ENSMUST00000007216:12:12:20543310:20544909	ENSMUST00000007216	98.76	99.06	98.99	99.04	98.8	99.1	99.29	99.01	98.76	98.66
chr16	20544628	20544662	chr16:+:20544651:TE	4	+	2	2	ENSMUST00000007216:12:12:20543310:20544909	ENSMUST00000007216	1.24	0.94	1.01	0.96	1.2	0.9	0.71	0.99	1.24	1.34
chrX	133931787	133931831	chrX:+:133931813:TE	7	+	1	2	ENSMUST00000113304:11:11:133931285:133932446	ENSMUST00000113304	77.9	80.29	84.12	87.88	84.79	88.57	82.14	91.22	77.9	66.57
chrX	133932295	133932296	chrX:+:133932296:TE	1	+	2	2	ENSMUST00000113304:11:11:133931285:133932446	ENSMUST00000113304	22.1	19.71	15.88	12.12	15.21	11.43	17.86	8.78	22.1	33.43
chr17	75390823	75390843	chr17:+:75390843:TE	1	+	1	2	ENSMUST00000001927:34:34:75390371:75391767	ENSMUST00000001927	53.87	57.71	59.07	56.42	54.81	50.26	52.27	38.13	53.87	46.96
chr17	75391754	75391779	chr17:+:75391769:TE	8	+	2	2	ENSMUST00000001927:34:34:75390371:75391767	ENSMUST00000001927	46.13	42.29	40.93	43.58	45.19	49.74	47.73	61.87	46.13	53.04
chr2	25361471	25361498	chr2:-:25361491:TE	8	-	1	2	ENSMUST00000102925:9:9:25359888:25361739	ENSMUST00000102925	92.08	91.84	94.23	93.09	95.27	93.81	94.3	91.62	92.08	87.77
chr2	25360305	25360336	chr2:-:25360315:TE	2	-	2	2	ENSMUST00000102925:9:9:25359888:25361739	ENSMUST00000102925	7.92	8.16	5.77	6.91	4.73	6.19	5.7	8.38	7.92	12.23
chr11	50119159	50119160	chr11:+:50119160:IG	1	+	1	2	ENSMUST00000238748:8:8:50119044:50125719	ENSMUST00000238748	70.21	74.5	68.89	74.7	74.41	77.71	71.68	77.62	70.21	75.31
chr11	50125687	50125735	chr11:+:50125714:IG	8	+	2	2	ENSMUST00000238748:8:8:50119044:50125719	ENSMUST00000238748	29.79	25.5	31.11	25.3	25.59	22.29	28.32	22.38	29.79	24.69
chr9	119393306	119393341	chr9:+:119393329:TE	9	+	1	2	ENSMUST00000216838:20:20:119391740:119393797	ENSMUST00000216838	95.98	94.29	91.5	93.69	91.34	92.85	93.25	92.82	95.98	89.9
chr9	119393796	119393815	chr9:+:119393797:TE	1	+	2	2	ENSMUST00000216838:20:20:119391740:119393797	ENSMUST00000216838	4.02	5.71	8.5	6.31	8.66	7.15	6.75	7.18	4.02	10.1
chr2	104060962	104061033	chr2:+:104061006:TE	9	+	1	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	29.56	32.29	25.39	29.06	29.31	28.56	27.98	37.85	29.56	29.18
chr2	104061359	104061418	chr2:+:104061407:TE	9	+	2	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	65.45	62.81	70.17	65.54	65.81	66.07	67.66	56.73	65.45	65.14
chr2	104062960	104063010	chr2:+:104062993:TE	8	+	3	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	4.98	4.9	4.44	5.4	4.88	5.38	4.37	5.42	4.98	5.68
